,symbol,bid,bidSize,ask,askSize,regularMarketVolume
1924,CHFBWP,,,,,
1925,GBPVND,,,,,
1926,ZARGHS,,,,,
1927,CNYINR,,,,,
1928,ECML,33.34,2200.0,33.4,1100.0,108.0
1929,SDIV,21.25,2900.0,21.26,1300.0,197510.0
1930,PCB,18.82,100.0,19.24,200.0,6522.0
1931,CVS,56.45,800.0,56.47,1400.0,6010769.0
1932,ASPZ,0.0195,,0.0338,,30000.0
1933,ITEC,,,,,6.0
1934,BGNUSD,,,,,
1935,USDCOP,,,,,
1936,HKDKRW,,,,,
1937,EURLRD,,,,,
1938,HPF,16.7,1000.0,16.78,1800.0,21776.0
1939,KNO,45.48,1000.0,45.49,1000.0,1081.0
1940,AFG,138.05,800.0,138.42,800.0,68667.0
1941,RUBNOK,,,,,
1942,SON,47.92,1400.0,47.96,1000.0,197740.0
1943,THG,156.54,800.0,156.68,800.0,94509.0
1944,AOS,66.3,900.0,66.36,800.0,1055662.0
1945,ITMC,0.0018,,0.0055,,24.0
1946,IVCBU,,,,,9.0
1947,BBWI,38.22,800.0,38.24,800.0,687400.0
1948,EURAFN,,,,,
1949,INRAUD,,,,,
1950,USDVND,,,,,
1951,ITP,0.3525,800.0,0.3741,800.0,42452.0
1952,BSY,45.94,100.0,46.02,400.0,512432.0
1953,WAB,209.13,800.0,209.41,900.0,181658.0
1954,TFPM,16.23,900.0,16.27,900.0,131230.0
1955,DINT,22.42,1100.0,22.5,800.0,81890.0
1956,UXIN,3.61,100.0,5.01,100.0,19947.0
1957,SIXG,48.32,200.0,48.44,200.0,8729.0
1958,ZARGBP,,,,,
1959,IVOL,17.8,900.0,17.81,900.0,187648.0
1960,GBPSLL,,,,,
1961,MXNCOP,,,,,
1962,USDBHD,,,,,
1963,ITVI,0.0001,,0.0002,,5781830.0
1964,SHNY,49.17,900.0,49.17,1000.0,49807.0
1965,IUSV,95.89,300.0,95.96,700.0,496618.0
1966,CNRD,11.85,21500.0,11.9,40000.0,2379.0
1967,GBPMWK,,,,,
1968,NIOUSD,,,,,
1969,EURUYU,,,,,
1970,HMNTY,33.86,40000.0,34.81,40000.0,50.0
1971,MA,570.9,800.0,571.21,1400.0,3200483.0
1972,VLYPP,18.03,200.0,32.62,200.0,6724.0
1973,IVCPU,,,,,14730.0
1974,XAUCAD,,,,,
1975,GBPRWF,,,,,
1976,RUBJPY,,,,,
1977,LRDGBP,,,,,
1978,UAHDKK,,,,,
1979,FMY,12.0,1100.0,12.05,900.0,596.0
1980,BRCC,2.74,2200.0,2.75,2200.0,161168.0
1981,IVCPW,,,,,196188.0
1982,NMM,41.88,900.0,42.21,1200.0,18024.0
1983,KHRGBP,,,,,
1984,BAMGBP,,,,,
1985,CZKSEK,,,,,
1986,ZARNGN,,,,,
1987,XAGBRL,,,,,
1988,DKKUAH,,,,,
1989,XAUBRL,,,,,
1990,IIPR,72.56,800.0,72.83,800.0,339343.0
1991,FBZ,7.02,200.0,9.91,100.0,227.0
1992,BXP,73.09,1300.0,73.17,1100.0,738212.0
1993,CMRE,11.86,800.0,11.89,900.0,114585.0
1994,EDBL,0.24,800.0,0.258,2200.0,966004.0
1995,IP,57.27,800.0,57.28,1400.0,7432814.0
1996,GBPNGN,,,,,
1997,BRLSEK,,,,,
1998,BHDUSD,,,,,
1999,MBCN,,,,,2975.0
